,District,Active Cases,Recovered,Confirmed,Deaths
528,Shahid Bhagat Singh Nagar,3,11052,11429,374
529,Sri Muktsar Sahib,8,18199,18730,523
530,Tarn Taran,12,7599,7986,375
531,Karaikal,119,14807,15157,231
532,Mahe,143,4796,4977,38
533,Puducherry,581,93112,95120,1427
534,Yanam,23,6498,6626,105
535,Ajmer,14,37291,37715,410
536,Alwar,10,59335,59652,307
537,Banswara,3,9898,10005,104
538,Baran,1,11931,11993,61
539,Barmer,4,15361,15550,185
540,Bharatpur,1,19329,19590,260
541,Bhilwara,0,29617,29773,156
542,Bikaner,7,39759,40311,545
543,BSF Camp,0,85,85,0
544,Bundi,0,7919,7967,48
545,Chittorgarh,0,19670,19809,139
546,Churu,0,16612,16719,107
547,Dausa,2,13287,13351,62
548,Dholpur,1,10957,11006,48
549,Dungarpur,0,18276,18407,131
550,Evacuees,0,61,61,0
551,Ganganagar,0,19186,19336,150
552,Hanumangarh,4,15935,16050,111
553,Italians,0,2,2,0
554,Jaipur,60,185568,187598,1970
555,Jaisalmer,3,13570,13639,66
556,Jalore,4,9989,10065,72
557,Jhalawar,1,13411,13599,187
558,Jhunjhunu,0,14644,14802,158
559,Jodhpur,0,111271,112374,1103
560,Karauli,0,7086,7156,70
561,Kota,1,56601,57051,449
562,Nagaur,7,17543,17727,177
563,Other State,0,63,66,3
564,Pali,11,27017,27315,287
565,Pratapgarh,0,15862,16023,161
566,Rajsamand,2,16870,17041,169
567,Sawai Madhopur,4,10537,10602,61
568,Sikar,6,30264,30605,335
569,Sirohi,0,13650,13729,79
570,Tonk,1,9402,9495,92
571,Udaipur,43,55562,56358,753
572,East Sikkim,10831,4917,15974,226
573,North Sikkim,699,72,781,10
574,South Sikkim,5723,438,6178,17
575,West Sikkim,4792,137,4973,44
577,Foreign Evacuees,33,0,33,0
578,Other State,0,63,66,3
579,Adilabad,7085,15,7100,0
580,Bhadradri Kothagudem,18328,4,18332,0
581,Hyderabad,136563,305,136891,23
582,Jagtial,16969,2,16971,0
583,Jangaon,7523,1,7524,0
584,Jayashankar Bhupalapally,6760,0,6760,0
585,Jogulamba Gadwal,7156,25,7182,1
586,Kamareddy,11510,8,11518,0
587,Karimnagar,29287,16,29303,0
588,Khammam,26949,3,26952,0
589,Komaram Bheem,4461,2,4463,0
590,Mahabubabad,12855,1,12856,0
591,Mahabubnagar,16218,8,16226,0
592,Mancherial,15913,0,15914,1
593,Medak,8388,4,8392,0
594,Medchal Malkajgiri,44944,9,44954,1
595,Mulugu,6572,2,6574,0
596,Nagarkurnool,12228,2,12230,0
597,Nalgonda,28624,12,28636,0
598,Narayanpet,3271,0,3272,1
599,Nirmal,7217,13,7230,0
600,Nizamabad,20746,30,20776,0
601,Peddapalli,15416,1,15417,0
602,Rajanna Sircilla,11924,2,11926,0
603,Ranga Reddy,48325,17,48344,2
604,Sangareddy,19029,6,19035,0
605,Siddipet,19167,1,19168,0
606,Suryapet,17243,24,17267,0
